0.075	0.57	0.001	0.001
0.11	0.61	0.001	0.001
0.145	0.65	0.001	0.001
0.18	0.69	0.001	0.001
0.215	0.745	0.001	0.001
0.25	0.8	0.001	0.001
0.285	0.86	0.001	0.001
0.285	0.935	0.001	0.001
0.315	1.02	0.001	0.001
0.35	1.12	0.001	0.001
0.385	1.12	0.001	0.001
0.42	1.24	0.001	0.001
0.455	1.38	0.001	0.001
0.49	1.54	0.001	0.001
0.525	1.74	0.001	0.001
0.555	2.005	0.001	0.001
0.59	2.38	0.001	0.001
0.625	2.89	0.001	0.001
0.66	3.535	0.001	0.001
0.695	4.25	0.001	0.001
0.725	5.025	0.001	0.001
0.76	5.855	0.001	0.001
0.795	6.74	0.001	0.001
0.83	7.575	0.001	0.001
0.865	8.265	0.001	0.001
0.9	8.605	0.001	0.001
0.935	8.49	0.001	0.001
0.965	7.86	0.001	0.001
1	6.825	0.001	0.001
1.035	5.67	0.001	0.001
1.07	4.625	0.001	0.001
1.105	3.74	0.001	0.001
1.14	3.07	0.001	0.001
1.17	2.58	0.001	0.001
1.205	2.18	0.001	0.001
1.24	1.87	0.001	0.001
1.275	1.615	0.001	0.001
1.31	1.39	0.001	0.001
1.34	1.2	0.001	0.001
1.375	1.05	0.001	0.001
1.41	0.93	0.001	0.001
1.445	0.83	0.001	0.001
1.48	0.745	0.001	0.001
1.51	0.67	0.001	0.001
1.545	0.61	0.001	0.001
1.58	0.555	0.001	0.001
1.615	0.51	0.001	0.001
1.65	0.475	0.001	0.001
1.685	0.44	0.001	0.001
1.715	0.41	0.001	0.001
1.75	0.385	0.001	0.001
1.785	0.36	0.001	0.001
1.82	0.34	0.001	0.001
1.855	0.32	0.001	0.001
1.885	0.3	0.001	0.001
1.92	0.285	0.001	0.001
1.955	0.275	0.001	0.001
1.99	0.26	0.001	0.001
2.02	0.25	0.001	0.001
2.055	0.245	0.001	0.001
2.055	0.235	0.001	0.001
2.09	0.23	0.001	0.001
2.125	0.22	0.001	0.001
2.16	0.22	0.001	0.001
2.195	0.215	0.001	0.001
2.225	0.21	0.001	0.001
2.26	0.205	0.001	0.001
2.295	0.205	0.001	0.001
2.33	0.2	0.001	0.001
2.365	0.2	0.001	0.001
2.395	0.195	0.001	0.001
2.43	0.195	0.001	0.001
2.465	0.195	0.001	0.001
2.5	0.195	0.001	0.001
2.535	0.195	0.001	0.001
2.57	0.195	0.001	0.001
2.6	0.195	0.001	0.001
2.635	0.195	0.001	0.001
2.67	0.195	0.001	0.001
2.705	0.2	0.001	0.001
2.74	0.205	0.001	0.001
2.77	0.21	0.001	0.001
2.805	0.215	0.001	0.001
2.84	0.225	0.001	0.001
2.875	0.22	0.001	0.001
2.91	0.225	0.001	0.001
2.94	0.23	0.001	0.001
2.975	0.235	0.001	0.001
3.01	0.245	0.001	0.001
3.045	0.255	0.001	0.001
3.08	0.26	0.001	0.001
3.11	0.27	0.001	0.001
3.145	0.28	0.001	0.001
3.18	0.295	0.001	0.001
3.215	0.31	0.001	0.001
3.245	0.325	0.001	0.001
3.28	0.35	0.001	0.001
3.315	0.375	0.001	0.001
3.35	0.405	0.001	0.001
3.385	0.445	0.001	0.001
3.415	0.485	0.001	0.001
3.45	0.53	0.001	0.001
3.485	0.58	0.001	0.001
3.52	0.635	0.001	0.001
3.555	0.7	0.001	0.001
3.585	0.765	0.001	0.001
3.62	0.83	0.001	0.001
3.655	0.91	0.001	0.001
3.69	0.995	0.001	0.001
3.725	1.1	0.001	0.001
3.755	1.23	0.001	0.001
3.79	1.395	0.001	0.001
3.825	1.62	0.001	0.001
3.86	1.875	0.001	0.001
3.86	2.225	0.001	0.001
3.895	2.67	0.001	0.001
3.925	3.175	0.001	0.001
3.96	3.175	0.001	0.001
3.995	3.86	0.001	0.001
4.03	4.64	0.001	0.001
4.065	5.665	0.001	0.001
4.095	6.745	0.001	0.001
4.13	7.825	0.001	0.001
4.165	8.495	0.001	0.001
4.2	8.585	0.001	0.001
4.235	7.91	0.001	0.001
4.265	6.84	0.001	0.001
4.3	5.6	0.001	0.001
4.335	4.465	0.001	0.001
4.37	3.565	0.001	0.001
4.405	2.865	0.001	0.001
4.435	2.35	0.001	0.001
4.47	1.95	0.001	0.001
4.505	1.65	0.001	0.001
4.535	1.405	0.001	0.001
4.57	1.205	0.001	0.001
4.605	1.05	0.001	0.001
4.64	0.915	0.001	0.001
4.675	0.81	0.001	0.001
4.71	0.715	0.001	0.001
4.74	0.64	0.001	0.001
4.775	0.575	0.001	0.001
4.81	0.515	0.001	0.001
4.845	0.47	0.001	0.001
4.875	0.44	0.001	0.001
4.91	0.415	0.001	0.001
4.945	0.4	0.001	0.001
4.98	0.38	0.001	0.001
5.015	0.36	0.001	0.001
5.045	0.35	0.001	0.001
5.08	0.34	0.001	0.001
