25	0	0
50	0	0
75	0	0
100	0	0
125	0	0
150	0	0
175	0	0
200	0	0
225	0	0
250	0	0
275	0	0
300	0	0
325	0	0
350	0	0
375	0	0
400	0	0
425	0	0
450	0	0
475	0	0
500	0	0
525	0	0
550	0	0
575	0	0
600	0	0
625	0	0
650	0	0
675	0	0
700	0	0
725	279.691703904641	5.95329357523687
750	357.041389475141	6.93585168532856
775	373.562823941319	7.14064698268251
800	386.760141712024	7.30327243399684
825	380.458450606303	7.22571971463636
850	398.180661683555	7.44338112045128
875	404.541035900149	7.52118043351614
900	410.295963011324	7.59144031182913
925	430.574682841596	7.83808698440785
950	426.906227170417	7.79356908202381
975	436.78895861658		7.91340471365251
1000	446.722364088652	8.03356507833851
1025	453.11676546787		8.11077290031834
1050	453.244868235234	8.1123185612074
1075	458.375905003776	8.17419459399678
1100	467.258821683441	8.28116486548618
1125	485.537414342849	8.5007363867894
1150	488.796174079699	8.53981239934072
1175	494.937320959762	8.61339889518708
1200	523.674810834387	8.95694767848426
