0.06; 0.19; 0; 0
0.13; 0.17; 2.55936e-23; 3.07991e-41
0.2; 0.16; 2.55866e-23; 3.07991e-41
0.2; 0.14; 2.56328e-23; 3.07991e-41
0.27; 0.14; -2.61052e+16; 4.59093e-41
0.34; 0.13; -2.61073e+16; 4.59093e-41
0.41; 0.13; -2.61051e+16; 4.59093e-41
0.48; 0.12; -2.61051e+16; 4.59093e-41
0.56; 0.12; -2.61051e+16; 4.59093e-41
0.63; 0.11; -2.61051e+16; 4.59093e-41
0.7; 0.11; -2.61051e+16; 4.59093e-41
0.78; 0.11; -2.61051e+16; 4.59093e-41
0.84; 0.11; -2.61051e+16; 4.59093e-41
0.92; 0.12; -2.61051e+16; 4.59093e-41
0.99; 0.12; -2.61051e+16; 4.59093e-41
1.06; 0.14; -2.61051e+16; 4.59093e-41
1.14; 0.15; -2.61051e+16; 4.59093e-41
1.21; 0.18; -2.61051e+16; 4.59093e-41
1.28; 0.2; -2.61051e+16; 4.59093e-41
1.35; 0.24; -2.61051e+16; 4.59093e-41
1.43; 0.27; -2.61051e+16; 4.59093e-41
1.5; 0.33; -2.61051e+16; 4.59093e-41
1.56; 0.39; -2.61051e+16; 4.59093e-41
1.64; 0.46; -2.61051e+16; 4.59093e-41
1.71; 0.64; -2.61051e+16; 4.59093e-41
1.78; 0.96; -2.61051e+16; 4.59093e-41
1.85; 1.34; -2.61051e+16; 4.59093e-41
1.93; 1.54; -2.61051e+16; 4.59093e-41
2; 1.34; -2.61051e+16; 4.59093e-41
2.07; 1.02; -2.61051e+16; 4.59093e-41
2.14; 0.79; -2.61051e+16; 4.59093e-41
2.21; 0.69; -2.61051e+16; 4.59093e-41
2.29; 0.67; -2.61051e+16; 4.59093e-41
2.35; 0.7; -2.61051e+16; 4.59093e-41
2.42; 0.79; -2.61051e+16; 4.59093e-41
2.5; 0.94; -2.61051e+16; 4.59093e-41
2.57; 1.2; -2.61051e+16; 4.59093e-41
2.65; 1.61; -2.61051e+16; 4.59093e-41
2.71; 2.17; -2.61051e+16; 4.59093e-41
2.79; 2.65; -2.61051e+16; 4.59093e-41
