0	,	0
1	,	0
2	,	0
3	,	0
4	,	0
5	,	0
6	,	0
7	,	0
8	,	0
9	,	0
10	,	0
11	,	0
12	,	0
13	,	1138
14	,	2483
15	,	2782
16	,	3490
17	,	5094
18	,	8768
19	,	17286
20	,	36504
21	,	108044
22	,	267981
23	,	282179
24	,	133843
25	,	62440
26	,	25945
27	,	6970
28	,	2923
29	,	2683
30	,	3369
31	,	4476
32	,	6257
33	,	8444
34	,	10364
35	,	10005
36	,	7525
37	,	5500
38	,	5977
39	,	8368
40	,	10455
41	,	10053
42	,	8327
43	,	6682
44	,	5699
45	,	6756
46	,	11225
47	,	21932
48	,	41767
49	,	65733
50	,	74602
51	,	57548
52	,	29502
53	,	10258
54	,	2738
55	,	788
56	,	627
57	,	410
58	,	649
59	,	537
60	,	590
61	,	782
62	,	659
63	,	998
64	,	1393
65	,	2273
66	,	3012
67	,	3609
68	,	3380
69	,	2842
70	,	1817
71	,	1419
72	,	1033
73	,	905
74	,	928
75	,	1079
76	,	1140
77	,	1370
78	,	1417
79	,	1801
80	,	1778
81	,	1968
82	,	2180
83	,	2361
84	,	2801
85	,	2799
86	,	3008
87	,	3168
88	,	3107
89	,	3102
90	,	2953
91	,	2857
92	,	2600
93	,	2281
94	,	2151
95	,	2173
96	,	1956
97	,	1990
98	,	1796
99	,	1840
100	,	1749
101	,	1718
102	,	1779
103	,	1548
104	,	1641
105	,	1527
106	,	1488
107	,	1278
108	,	1096
109	,	1112
110	,	974
111	,	909
112	,	902
113	,	773
114	,	698
115	,	711
116	,	744
117	,	658
118	,	710
119	,	685
120	,	593
121	,	538
122	,	517
123	,	431
124	,	311
125	,	318
126	,	175
127	,	246
128	,	124
129	,	164
130	,	168
131	,	138
132	,	229
133	,	185
134	,	279
135	,	320
136	,	469
137	,	683
138	,	916
139	,	1267
140	,	1529
141	,	1972
142	,	2354
143	,	2555
144	,	2758
145	,	2938
146	,	3032
147	,	3096
148	,	3184
149	,	3171
150	,	3376
151	,	3660
152	,	3888
153	,	4444
154	,	4815
155	,	5308
156	,	5825
157	,	6157
158	,	6481
159	,	6284
160	,	5897
161	,	5812
162	,	5351
163	,	4675
164	,	4053
165	,	3305
166	,	2712
167	,	2289
168	,	1833
169	,	1625
170	,	1517
171	,	1653
172	,	2015
173	,	2678
174	,	3510
175	,	4698
176	,	5967
177	,	7274
178	,	8826
179	,	10373
180	,	11816
181	,	13081
182	,	14155
183	,	14821
184	,	15390
185	,	15728
186	,	15488
187	,	14611
188	,	13840
189	,	12740
190	,	11326
191	,	10094
192	,	8749
193	,	7448
194	,	6390
195	,	5436
196	,	4736
197	,	4373
198	,	3892
199	,	3666
200	,	3389
201	,	3241
202	,	2985
203	,	2748
204	,	2518
205	,	2322
206	,	1969
207	,	1700
208	,	1396
209	,	1088
210	,	898
211	,	697
212	,	556
213	,	407
214	,	343
215	,	309
216	,	259
217	,	206
218	,	235
219	,	200
220	,	249
221	,	260
222	,	305
223	,	304
224	,	361
225	,	351
226	,	362
227	,	408
228	,	356
229	,	377
230	,	362
231	,	413
232	,	330
233	,	346
234	,	279
235	,	240
236	,	206
237	,	133
238	,	88
239	,	76
240	,	26
241	,	7
