-20	1.188	0.1	0.100
-15	5.463	0.1	0.302
-12	24.329	0.1	0.637
-10	42.479	0.1	1.458
-9	55.579	0.1	1.667
-8	63.479	0.1	1.782
-7	74.979	0.1	1.936
-6	91.878	0.1	2.144
-5	101.779	0.1	2.256
-4	109.430	0.1	2.339
-3	121.079	0.1	2.461
-2	136.729	0.1	2.615
-1	142.129	0.1	2.666
0	143.829	0.1	2.682
1	139.829	0.1	2.644
2	128.279	0.1	2.533
3	121.179	0.1	2.462
4	105.679	0.1	2.299
5	99.629	0.1	2.232
6	84.529	0.1	2.056
7	73.179	0.1	1.913
8	61.379	0.1	1.752
9	50.529	0.1	1.590
10	39.029	0.1	1.397
12	20.745	0.1	0.588
15	3.846	0.1	0.254
20	0.888	0.1	0.087
